Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-31 11:02:38.038 +0100,"Running",0:00:00,0,0,0,"20160531_110238.038/LogFile.txt","","",0
2016-05-31 11:03:11.011 +0100,"Success",0:00:00,0,0,0,"20160531_110311.011/LogFile.txt","","",1
2016-05-31 11:06:02.002 +0100,"Failure",0:00:00,1,0,1,"20160531_110602.002/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
